žonglování,míčky,okno;6549;Žonglování - chrámové okno;Chrámové okno;micky-3-chramove-okno.mp4;Chrámové okno s míčky.;1234;http://zonglovani.info/micky/3/okno.html;Chrámové okno;http://juggling.tv/download/encoded/6549/chrmov-okno.mp4;http://juggling.tv/download/original/6549/chrmov-okno.mp4;9c7a4da0f9c1d3e03b85;HhPll5Qjc6I
žonglování,míčky,koleno;6550;Žonglování - koleno;Koleno;micky-3-koleno.mp4;Odrážení míčku kolenem;1234;http://zonglovani.info/micky/3/koleno.html;Koleno;http://juggling.tv/download/encoded/6550/koleno.mp4;http://juggling.tv/download/original/6550/koleno.mp4;4e796a5e72861ce06963;WKkhDSFW9so
žonglování,míčky,deštník;6567;Žonglování - deštník;Deštník;micky-4-destnik.mp4;Deštník se čtyřmi míčky.;1234;http://zonglovani.info/micky/4/destnik.html;Deštník;http://juggling.tv/download/encoded/6567/detnk.mp4;http://juggling.tv/download/original/6567/detnk.mp4;7a3dbc3534ed3f242c41;SzO4I0_OB6E
žonglování,míčky,55550;6568;Žonglování - 55550;55550;micky-4-55550.mp4;Trénink na pět míčků.;1234;http://zonglovani.info/micky/4/55550.html;55550;http://juggling.tv/download/encoded/6568/55550.mp4;http://juggling.tv/download/original/6568/55550.mp4;24cb8997459fadb90771;1RlrnlqZZT4
žonglování,míčky,fontána;6569;Žonglování - fontána;Fontána;micky-4-fontana.mp4;Fontána se čtyřmi míčky.;1234;http://zonglovani.info/micky/4/fontana.html;Fontána;http://juggling.tv/download/encoded/6569/fontna.mp4;http://juggling.tv/download/original/6569/fontna.mp4;ce7ba113f50a405dcaf0;5dqrIO1CSFw
žonglování,míčky,fontána;6570;Žonglování - synchronní fontána;Synchronní fontána;micky-4-fontana-s.mp4;Synchronní fontána se čtyřmi míčky.;1234;http://zonglovani.info/micky/4/fontana-synchronni.html;Synchronní fontána;http://juggling.tv/download/encoded/6570/synchronn-fontna.mp4;http://juggling.tv/download/original/6570/synchronn-fontna.mp4;be197b5887a4e60817b1;Cc6OZLSV_CM
žonglování,míčky,krabice;6571;Žonglování - krabice;Krabice;micky-4-krabice.mp4;Krabice se čtyrmi míčky.;1234;http://zonglovani.info/micky/4/krabice.html;Krabice;http://juggling.tv/download/encoded/6571/krabice.mp4;http://juggling.tv/download/original/6571/krabice.mp4;abc3889cb0f420c85e67;bs3yUKhxJ24
žonglování,míčky,kříž;6572;Žonglování - kříž;Kříž;micky-4-kriz.mp4;Kříž se čtyřmi  míčky.;1234;http://zonglovani.info/micky/4/kriz.html;Kříž;http://juggling.tv/download/encoded/6572/k.mp4;http://juggling.tv/download/original/6572/k.mp4;f2bb58e758a209df95f1;t7V-p3lIEfs
žonglování,míčky,sprcha;6573;Žonglování - poloviční sprcha;Poloviční sprcha;micky-4-polovicni-sprcha.mp4;Poloviční sprcha se čtyřmi míčky.;1234;http://zonglovani.info/micky/4/sprcha-polovicni.html;Poloviční sprcha;http://juggling.tv/download/encoded/6573/polovin-sprcha.mp4;http://juggling.tv/download/original/6573/polovin-sprcha.mp4;50b62c1e343504d4a7b8;5UKlWxs3sGs
žonglování,míčky,sbírání;6574;Žonglování - sbírání míčků;Sbírání míčků;micky-4-sebrani.mp4;Sbírání spadlého míčku.;1234;http://zonglovani.info/micky/sbirani.html;Sbírání míčků;http://juggling.tv/download/encoded/6574/sbrn-mk.mp4;http://juggling.tv/download/original/6574/sbrn-mk.mp4;d6c7a72dca4fd3149e92;0ULRObugMdo
